n,Mean,Standard Deviation
8,0.0002846717834472656,1.848781970947463e-05
16,0.0011440118153889973,5.656569766264984e-05
32,0.0039003690083821616,0.0032315417478076818
64,0.0006003379821777344,0.0003963705113057808
128,9.830792744954427e-05,8.960014243166573e-06
256,0.0004153251647949219,0.00010693358999068872
512,0.0020966529846191406,0.0006128244762524026
1024,0.013350963592529297,0.0007824973315816286
2048,0.06435449918111165,0.002221233513257815
4096,0.30249595642089844,0.013115335154224824
