n,Mean,Standard Deviation,param
64,0.06306540966033936,0.06708952204703517,2
64,0.0051615238189697266,0.0001618438982818331,4
64,0.0033524036407470703,4.45070720275041e-05,8
64,0.0029240846633911133,7.1986817256607e-05,16
64,0.00250089168548584,0.0001724649041065784,32
128,0.1275249719619751,0.007393400165781031,2
128,0.04296135902404785,0.0006059030941926126,4
128,0.027517080307006836,0.001651819286838959,8
128,0.02030789852142334,0.00040578985746288774,16
128,0.01903688907623291,0.0009361657991239782,32
128,0.01784837245941162,0.0006711464156874766,64
256,1.0234075784683228,0.0009071687673484831,2
256,0.31384992599487305,0.011364476232477466,4
256,0.19285202026367188,0.0008146142880185598,8
256,0.15920650959014893,0.003143311961942477,16
256,0.14348900318145752,0.0025087490107624563,32
256,0.13827502727508545,0.0007878088923656312,64
256,0.13847005367279053,0.0017848347407393404,128
512,7.9928425550460815,0.01777029144395123,2
512,2.6396394968032837,0.17725396620917425,4
512,1.5454020500183105,0.010879618887208143,8
512,1.2647464275360107,0.01454302295977505,16
512,1.1408028602600098,0.009192396247620032,32
512,1.1492993831634521,0.0015577475209626434,64
512,1.1373379230499268,0.005755910807435776,128
512,1.1056766510009766,0.0036465453331625515,256
1024,67.0137550830841,0.9762670081955475,2
1024,20.077649354934692,0.03758757102637956,4
1024,12.608209490776062,0.10924176535453858,8
1024,10.234997987747192,0.0064629663380545346,16
1024,9.414705991744995,0.03154674752301014,32
1024,9.361206889152527,0.00923336298437262,64
1024,9.149382948875427,0.002431198809502411,128
1024,8.978615403175354,0.03731462803542301,256
1024,14.60653042793274,0.023732721809090387,512
