n,Mean,Standard Deviation
8,0.00029095013936360675,1.8104643077335325e-05
16,0.0012257099151611328,5.171045606674988e-05
32,0.004291613896687825,0.0035511289046034128
64,0.0006732145945231119,0.00048469044863286395
128,8.145968119303386e-05,6.331947417908378e-06
256,0.0006643136342366537,0.00018795647191732946
512,0.0026733875274658203,0.0003535730647421711
1024,0.014293511708577475,0.0019456757599578137
2048,0.06568264961242676,0.004920915467828824
4096,0.3135896523793538,0.005833484114182066
