n,Mean,Standard Deviation,param
64,0.08901536464691162,0.09062061333284943,2
64,0.010217547416687012,0.0005875270682418628,4
64,0.005930542945861816,3.3211716626584494e-05,8
64,0.004941821098327637,0.00010604147085340939,16
64,0.003205418586730957,1.0621005824745295e-05,32
128,0.2037750482559204,0.009217852944120612,2
128,0.08237051963806152,3.7089226689586747e-06,4
128,0.04584956169128418,7.856172562430647e-05,8
128,0.03072500228881836,0.0016376579457392986,16
128,0.02449798583984375,0.0008783403229670316,32
128,0.020540475845336914,6.84464819816919e-05,64
256,1.7039538621902466,0.008394809286399874,2
256,0.632749080657959,0.01111564123886915,4
256,0.34692955017089844,0.0042065926561753115,8
256,0.23503649234771729,0.0002550727271879307,16
256,0.24136757850646973,0.021400483799891554,32
256,0.18236804008483887,0.002637381192417705,64
256,0.1591249704360962,0.00242546683810493,128
512,15.902013540267944,0.7670857927150068,2
512,5.206974983215332,0.0012826128938835271,4
512,2.7970950603485107,0.0011059333049258594,8
512,1.8900154829025269,0.020754288318522527,16
512,1.4631085395812988,0.012263384217517815,32
512,1.3194544315338135,0.0037568014888670503,64
512,1.2294200658798218,0.02071955931534955,128
512,1.1669305562973022,0.009122432479091948,256
1024,120.77355515956879,1.5683585801311402,2
1024,43.58904767036438,1.7855131364129717,4
1024,23.058653116226196,0.03281688494973444,8
1024,15.564359426498413,0.013554426481103521,16
1024,12.038593530654907,0.008147828754126034,32
1024,10.614036440849304,0.09841440855948395,64
1024,9.839096426963806,0.17972309718233645,128
1024,9.371580958366394,0.21243208619988302,256
1024,14.753005027770996,0.004326289705946251,512
