n,Mean,Standard Deviation,param
64,0.12467455863952637,0.08752484301602724,2
64,0.025200605392456055,0.0022125409594278933,4
64,0.0143510103225708,0.0020859318265011675,8
64,0.012089848518371582,0.003825416558242786,16
64,0.004140615463256836,0.00020871119382594725,32
128,0.38086557388305664,0.011014488802443002,2
128,0.18132638931274414,0.007763449495706681,4
128,0.09718751907348633,0.0017698304626694622,8
128,0.06175041198730469,0.009840783365111625,16
128,0.035479068756103516,0.00246508487570517,32
128,0.02333664894104004,0.0006328770772395847,64
256,2.6633380651474,0.00815710106079843,2
256,1.2616205215454102,0.014708575780725843,4
256,0.7124694585800171,0.00024967793057853623,8
256,0.4222060441970825,0.009369244423971744,16
256,0.27812445163726807,0.0003697121551375624,32
256,0.194879412651062,0.004828848727590151,64
256,0.14911341667175293,0.0022182729308253745,128
512,18.731655478477478,1.9050375526924104e-05,2
512,9.615094065666199,0.30358931320797317,4
512,5.547048091888428,0.005148996188878902,8
512,3.1274235248565674,0.01431104670557109,16
512,2.048006057739258,0.004833737762017415,32
512,1.4871618747711182,0.004140843572498317,64
512,1.2016866207122803,0.013980278238457594,128
512,1.0979430675506592,0.006294716118799046,256
1024,132.39213848114014,1.7034973922595005,2
1024,62.79873740673065,0.01629245434776524,4
1024,36.8441561460495,1.44781387294295,8
1024,22.12125253677368,0.03883511774230202,16
1024,15.228080987930298,0.6310404861688741,32
1024,11.414067029953003,0.49388283999684185,64
1024,8.830172538757324,0.04140034353006908,128
1024,8.182330012321472,0.015659577270525655,256
1024,11.871065020561218,0.5903591678744008,512
